bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:22.745Z level=INFO fiber=#868 message="getNodeOutput completed" runId=run-atlas durationMs=1.629667000000154 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.772Z level=INFO fiber=#874 message="getNodeOutput completed" runId=run-atlas durationMs=1.6548330000000533 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.798Z level=INFO fiber=#880 message="getNodeOutput completed" runId=run-atlas durationMs=1.4121660000000702 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.822Z level=INFO fiber=#886 message="getNodeOutput completed" runId=run-atlas durationMs=1.7487500000002 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.849Z level=INFO fiber=#892 message="getNodeOutput completed" runId=run-atlas durationMs=1.583958000000166 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.878Z level=INFO fiber=#898 message="getNodeOutput completed" runId=run-atlas durationMs=1.5301670000003469 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.905Z level=INFO fiber=#904 message="getNodeOutput completed" runId=run-atlas durationMs=1.5539170000001832 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.932Z level=INFO fiber=#910 message="getNodeOutput completed" runId=run-atlas durationMs=1.4652079999996204 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.960Z level=INFO fiber=#916 message="getNodeOutput completed" runId=run-atlas durationMs=1.4924580000001697 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.988Z level=INFO fiber=#922 message="getNodeOutput completed" runId=run-atlas durationMs=1.5621249999999236 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.014Z level=INFO fiber=#928 message="getNodeOutput completed" runId=run-atlas durationMs=2.0960419999996702 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.039Z level=INFO fiber=#934 message="getNodeOutput completed" runId=run-atlas durationMs=1.484375 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.068Z level=INFO fiber=#940 message="getNodeOutput completed" runId=run-atlas durationMs=1.523707999999715 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.095Z level=INFO fiber=#946 message="getNodeOutput completed" runId=run-atlas durationMs=1.3931250000000546 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.123Z level=INFO fiber=#952 message="getNodeOutput completed" runId=run-atlas durationMs=1.5481249999998 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
